text,intent
"My electricity bill is too high this month","high_bill"
"The power bill shot up suddenly","high_bill"
"My energy charges are extremely high","high_bill"
"The bill amount increased a lot","high_bill"
"I am paying too much for electricity","high_bill"
"My AC bill is very high this time","high_bill"
"The cost of electricity is huge this month","high_bill"
"My bill went up unexpectedly","high_bill"
"Why is my power bill so expensive","high_bill"
"My electricity usage is causing a huge bill","high_bill"
"The monthly bill is far higher than usual","high_bill"
"My consumption seems too high and costly","high_bill"
"I can't believe how high my bill is","high_bill"
"This month's electric bill shocked me","high_bill"
"My bill jumped compared to last month","high_bill"
"I think my power usage is too much","high_bill"
"Why is my AC bill so high","high_bill"
"I am paying more than normal for electricity","high_bill"
"My electricity expenses are too high","high_bill"
"My electricity bill increased a lot","high_bill"
"The energy bill is very costly this month","high_bill"
"I got a huge electricity bill","high_bill"
"The power bill seems unusually high","high_bill"
"My AC usage made my bill very high","high_bill"
"I’m facing a very high electricity bill","high_bill"
"My charges for electricity are too big","high_bill"
"I need help, my bill is extremely high","high_bill"
"My bill doubled this month","high_bill"
"The electricity bill surprised me this month","high_bill"
"The electricity cost is overwhelming","high_bill"
"My bill is too high because of AC","high_bill"
"This bill amount is extremely high","high_bill"
"I used power and now my bill is huge","high_bill"
"My electricity consumption is costly","high_bill"
"I don’t know why my bill is too high","high_bill"
"Why did my bill increase suddenly","high_bill"
"My bill amount is higher than expected","high_bill"
"The electricity cost increased a lot","high_bill"
"My usage is high and so is my bill","high_bill"
"The energy charges are very high","high_bill"
"Why are my electricity charges increasing","high_bill"
"My bill became extremely expensive","high_bill"
"My house electricity bill has shot up","high_bill"
"The power bill this month is unbearable","high_bill"
"My electricity consumption seems too high","high_bill"
"I think my home is using too much power","high_bill"
"My power bill is much higher this cycle","high_bill"
"The energy usage is too much lately","high_bill"
"I'm shocked by my electricity bill","high_bill"
"My AC increased my electricity expenses massively","high_bill"
"My bill skyrocketed this month","high_bill"
"The electricity charges are unreasonably high","high_bill"
"I noticed a major spike in my electricity bill","high_bill"
"My bill is out of budget this month","high_bill"
"I received an unusually costly electric bill","high_bill"
"My bill is too high even with low usage","high_bill"
"My power bill overwhelmed me","high_bill"
"My electricity expenses suddenly shot up","high_bill"
"The AC is driving my electricity bill insane","high_bill"

"My bill came very low this time","low_bill"
"I saved a lot on my electricity bill","low_bill"
"My power charges dropped this month","low_bill"
"My bill is very cheap this month","low_bill"
"I used less electricity this month","low_bill"
"The bill total is much lower","low_bill"
"I saved money on my electric bill","low_bill"
"My usage reduced and my bill is low","low_bill"
"This month’s bill is surprisingly low","low_bill"
"My power bill is very small","low_bill"
"I consumed very little electricity","low_bill"
"My electricity bill decreased this month","low_bill"
"I saved on my energy expenses","low_bill"
"The power bill is lower than usual","low_bill"
"My charges for electricity went down","low_bill"
"This time I paid less for electricity","low_bill"
"My electricity usage dropped a lot","low_bill"
"My energy bill is very low","low_bill"
"I have a low bill this month","low_bill"
"The electricity bill was cheap this time","low_bill"
"My electricity bill reduced compared to last month","low_bill"
"The power bill is extremely low","low_bill"
"I am happy my bill is very small","low_bill"
"I saved a lot of electricity","low_bill"
"I paid less money for my bill this time","low_bill"
"My consumption is low so my bill is low","low_bill"
"I managed to reduce my electric bill","low_bill"
"My charges decreased this month","low_bill"
"I saved a large amount on electricity","low_bill"
"This month's charges were light","low_bill"
"I saw a major drop in my power bill","low_bill"
"My bill is way lower than last month","low_bill"
"My bill came less because of reduced usage","low_bill"
"I saved energy and got a low bill","low_bill"
"My electricity use dropped drastically","low_bill"
"My low power usage saved me money","low_bill"
"I consumed less and saved on my bill","low_bill"
"The bill dropped significantly","low_bill"
"My energy bill is very affordable","low_bill"
"My efficient usage gave me a low bill","low_bill"
"This month I am paying very little","low_bill"
"My bill decreased sharply","low_bill"
"I controlled my electricity usage this month","low_bill"
"My bill is the lowest it has been in months","low_bill"
"I cut down usage and saved money","low_bill"
"My electricity charges remain very low","low_bill"
"This time my bill is extremely affordable","low_bill"
"I reduced energy usage and saved well","low_bill"
"I am proud of my low electricity usage","low_bill"
"My careful usage gave a small bill","low_bill"
"The bill went down a lot this cycle","low_bill"
"The electricity charges are very low now","low_bill"
"Energy efficient habits lowered my bill","low_bill"
"My power consumption stayed minimal","low_bill"
"I am paying much less for electricity","low_bill"
"I used less power and saved a lot","low_bill"
"My bill is low thanks to reduced usage","low_bill"
"This month's bill is pleasantly low","low_bill"
"I kept the usage minimal and saved","low_bill"
"How do I save electricity at home","energy_tips"
"Give me ideas to reduce energy usage","energy_tips"
"What are ways to lower electricity consumption","energy_tips"
"How can I cut my power bill","energy_tips"
"Suggest methods to save energy","energy_tips"
"Tips for reducing electricity usage","energy_tips"
"How can I make my home efficient","energy_tips"
"I need energy-saving tips","energy_tips"
"What should I do to reduce my power bill","energy_tips"
"How do I minimize electricity usage","energy_tips"
"How can I cut down energy waste","energy_tips"
"Give me ways to make my home energy efficient","energy_tips"
"What are some power-saving tips","energy_tips"
"How do I save electricity during the day","energy_tips"
"How can I reduce power use at night","energy_tips"
"Best tips to control electricity consumption","energy_tips"
"How do I lower energy usage without spending money","energy_tips"
"How can I save power during summer","energy_tips"
"What helps reduce electricity bills","energy_tips"
"Show me ways to conserve energy","energy_tips"
"How do I reduce my home's energy consumption","energy_tips"
"How do I bring down my electricity bill","energy_tips"
"What actions help lower power usage","energy_tips"
"Suggest tips to save electricity","energy_tips"
"What are good habits to lower power usage","energy_tips"
"What appliances should I use less to save energy","energy_tips"
"How do I avoid wasting electricity","energy_tips"
"Give me tips for saving electrical energy","energy_tips"
"How do I keep my power bill low","energy_tips"
"Which habits save energy at home","energy_tips"
"What can I do to consume less electricity","energy_tips"
"How to save energy in the kitchen","energy_tips"
"How to lower electricity use while studying","energy_tips"
"General power-saving advice please","energy_tips"
"Household energy saving suggestions","energy_tips"
"Tell me how to save more electricity","energy_tips"
"I want energy saving recommendations","energy_tips"
"What steps reduce energy wastage","energy_tips"
"How to reduce power use simply","energy_tips"
"What are some simple ideas to save electricity","energy_tips"
"How to reduce unnecessary power usage at home","energy_tips"
"Which everyday habits lower electricity bills","energy_tips"
"Give me easy methods to conserve energy","energy_tips"
"How can I avoid electricity wastage","energy_tips"
"What small changes help reduce power charges","energy_tips"
"Which appliances consume the most energy","energy_tips"
"How to cut electricity use without discomfort","energy_tips"
"Tips to reduce power usage while studying","energy_tips"
"How can I keep my electricity bill controlled","energy_tips"
"What helps save electricity during the evening","energy_tips"
"Why is unplugging chargers important","energy_tips"
"How can I reduce lighting costs at home","energy_tips"
"What are cost-effective energy-saving methods","energy_tips"
"How to save electricity when using kitchen appliances","energy_tips"
"Give me effective power saving strategies","energy_tips"
"Which habits improve home energy efficiency","energy_tips"
"What can I switch off to save power","energy_tips"
"How to cut electricity usage easily","energy_tips"
"What helps reduce heavy energy consumption","energy_tips"

"How do I reduce AC electricity usage","ac_tips"
"My AC consumes too much power","ac_tips"
"Give me AC saving tips","ac_tips"
"Why does AC take so much electricity","ac_tips"
"How to use AC efficiently","ac_tips"
"What is the best AC temperature to save energy","ac_tips"
"How do I stop AC from increasing my bill","ac_tips"
